location_id,risk_zone,composite_risk_score,premium_per_hectare,zone_multiplier,rainy_days_pct,max_event,max_dry_spell,cv,total_rainfall,mean_rainfall
850804673,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850804674,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850804676,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850807136,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850809086,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850809087,Zone 4 (Very High Risk),0.408,150.0,1.5,71.572,1.414,4,1.393,52.567,0.176
850810624,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850810625,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850810626,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850810627,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850811615,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850811616,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850811617,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850811618,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850811619,Zone 4 (Very High Risk),0.408,150.0,1.5,71.572,1.414,4,1.393,52.567,0.176
850811620,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850811621,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850811622,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850813273,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850813274,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850813275,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850813276,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850813277,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850813278,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850813279,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850815135,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850815136,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850815137,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850815138,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850815139,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850815140,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850815141,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850815142,Zone 4 (Very High Risk),0.408,150.0,1.5,71.572,1.414,4,1.393,52.567,0.176
850815143,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850815144,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850815145,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850815146,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850815686,Zone 4 (Very High Risk),0.408,150.0,1.5,71.572,2.828,4,1.393,105.134,0.352
850815687,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850815688,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850815689,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850815690,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850815691,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850817803,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850817804,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850817805,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850817806,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850817807,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
850817808,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
851243929,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
920392823,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
920392832,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
920392833,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
920392834,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
920392846,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
920392847,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
920392848,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
920392849,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
920404762,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
920419803,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
999029289,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
999029290,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
999029306,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
